Name,Position X,Position Y,Position Z
Point01,19.17807,-3.54994,206.40911
Point02,20.839073,-3.986874,204.849909
Point03,22.073042,-4.317171,202.834188
Point04,23.182718,-4.616054,200.742016
Point05,24.179582,-4.886363,198.58999
Point06,25.10474,-5.138483,196.403852
Point07,28.261349,-6.013738,186.682152
Point08,30.226766,-6.585377,176.613311
Point09,31.535431,-6.989092,166.43287
Point10,32.538175,-7.314511,156.211579
Point11,32.986737,-7.497868,145.950956
Point12,33.270303,-7.638878,135.686031
Point13,33.658498,-7.806749,125.422675
Point14,33.909497,-7.939433,115.152247
Point15,35.692905,-8.46405,105.12548
Point16,46.09411,-11.210819,93.753349
Point17,55.234379,-13.640875,81.309331
Point18,61.338398,-15.303656,66.984719
Point19,64.020749,-16.094767,51.594332
Point20,61.309381,-15.500167,36.27942
Point21,53.413076,-13.56088,22.935835
Point22,42.597205,-10.856308,11.923442
Point23,29.351924,-7.505324,4.297152
Point24,14.553861,-3.727481,0.897339
Point25,10.906027,-2.792696,0.588986
Point26,7.294813,-1.869406,-0.034163
Point27,3.660674,-0.939137,-0.492947
Point28,0.000346,0.000388,-0.570838
Point29,-3.511014,0.902206,-0.565872
Point30,-7.015196,1.803615,-0.34491
Point31,-10.499979,2.701474,0.091756
Point32,-13.988846,3.599817,0.443236
Point33,-30.011329,7.736433,3.715372
Point34,-44.214494,11.440265,12.174064
Point35,-56.045716,14.555771,23.769194
Point36,-62.022,16.194274,39.377371
Point37,-61.864266,16.265834,56.248666
Point38,-56.349821,14.955335,72.163573
Point39,-47.881787,12.877009,86.680293
Point40,-36.970494,10.158609,99.300211
Point41,-24.534862,7.036232,110.038829
Point42,-23.618062,6.864676,119.657936
Point43,-23.445411,6.88453,129.322008
Point44,-23.340275,6.921845,139.004364
Point45,-23.461269,7.017234,148.686569
Point46,-23.291653,7.037964,158.365232
Point47,-22.36122,6.863021,168.001521
Point48,-20.974751,6.570578,177.580464
Point49,-19.478769,6.249897,187.142397
Point50,-16.914406,5.653188,196.456309
Point51,-16.128344,5.466623,198.761363
Point52,-15.143682,5.228507,200.983988
Point53,-14.039027,4.959175,203.146446
Point54,-12.759253,4.644155,205.201413
Point55,-10.843338,4.160401,206.449419
