Name,Position X,Position Y,Position Z
Point01,-24.307354,-16.72257,204.55803
Point02,-25.777578,-18.079493,203.439213
Point03,-26.649503,-18.916036,201.518048
Point04,-26.743644,-19.060253,199.179865
Point05,-26.717107,-19.095577,196.835282
Point06,-26.554873,-19.008102,194.497461
Point07,-26.173212,-18.886797,185.657647
Point08,-26.087824,-19.033527,176.80614
Point09,-25.970291,-19.151209,167.954571
Point10,-25.861179,-19.27646,159.10466
Point11,-25.585554,-19.251178,150.256956
Point12,-25.454021,-19.356196,141.40589
Point13,-25.508092,-19.628834,132.559087
Point14,-25.871278,-20.180352,123.730625
Point15,-25.70948,-20.257393,114.90435
Point16,-31.313749,-25.61615,103.271429
Point17,-36.017462,-30.180987,90.851765
Point18,-39.487969,-33.650544,77.674844
Point19,-41.951554,-36.22111,64.064937
Point20,-44.370712,-38.749473,50.536307
Point21,-46.000867,-40.572851,36.690311
Point22,-44.261869,-39.348663,22.959112
Point23,-38.255895,-34.214447,11.36331
Point24,-31.11316,-28.022228,0.982196
Point25,-23.583825,-21.278181,-1.394641
Point26,-15.847232,-14.293858,-1.676976
Point27,-8.11648,-7.327121,-2.445845
Point28,-0.388319,-0.365159,-3.310991
Point29,7.538419,6.798281,-3.30529
Point30,15.436623,13.956131,-2.501185
Point31,23.311076,21.099982,-1.401943
Point32,30.775556,27.926842,1.81221
Point33,37.209434,34.013654,12.589078
Point34,41.597729,38.297087,25.152521
Point35,42.747327,39.685104,38.955528
Point36,41.260113,38.692172,52.833878
Point37,38.537713,36.575644,66.420725
Point38,35.014408,33.727086,79.680921
Point39,30.509062,29.977684,92.411969
Point40,25.280192,25.561815,104.643779
Point41,20.155492,21.236224,116.722997
Point42,18.400983,19.860357,125.011848
Point43,17.074966,18.882792,133.738712
Point44,16.32171,18.425628,142.576351
Point45,15.441487,17.853275,151.396257
Point46,14.975715,17.656544,160.259107
Point47,14.692279,17.624951,169.136354
Point48,14.364002,17.552725,178.009231
Point49,14.075577,17.51662,186.88629
Point50,13.587086,17.299303,195.746983
Point51,13.463515,17.242615,197.920691
Point52,13.411683,17.250872,200.09889
Point53,13.209564,17.122979,202.263785
Point54,12.731803,16.743974,204.348886
Point55,11.551004,15.711046,205.698812
