Name,Position X,Position Y,Position Z
Point01,-19.565718,4.081559,163.675777
Point02,-21.150175,4.365284,162.393972
Point03,-21.255506,4.377516,160.233627
Point04,-21.162729,4.353703,158.055329
Point05,-21.180636,4.349988,155.874176
Point06,-21.215126,4.349286,153.693239
Point07,-21.547724,4.392723,148.378324
Point08,-22.011077,4.459942,143.072736
Point09,-22.420726,4.51739,137.762414
Point10,-22.858522,4.57996,132.454741
Point11,-23.260522,4.636019,127.14452
Point12,-23.677047,4.694718,121.834637
Point13,-24.337368,4.797787,116.551159
Point14,-24.896279,4.882395,111.255336
Point15,-25.134679,4.908751,105.949681
Point16,-29.889562,5.734055,93.920503
Point17,-36.037175,6.814414,82.536614
Point18,-41.631732,7.793342,70.850289
Point19,-47.486426,8.820057,59.330629
Point20,-51.990558,9.599493,47.201535
Point21,-53.987552,9.921614,34.481778
Point22,-52.25232,9.565315,21.620031
Point23,-47.509217,8.665422,9.632306
Point24,-38.612619,7.020686,0.664668
Point25,-28.986276,5.269526,-0.122048
Point26,-19.332914,3.51406,-0.72028
Point27,-9.674756,1.757892,-1.265639
Point28,-0.006101,0.000803,-1.502495
Point29,10.74276,-1.952244,-1.656961
Point30,21.493403,-3.905188,-1.677716
Point31,32.222117,-5.852111,-1.060517
Point32,42.459574,-7.702499,1.840732
Point33,49.369839,-8.926379,11.664326
Point34,53.637499,-9.665484,22.97189
Point35,57.302204,-10.295078,34.274056
Point36,54.73336,-9.790804,46.054961
Point37,50.348682,-8.958312,57.325101
Point38,44.844427,-7.924122,68.070739
Point39,38.95795,-6.821159,78.610236
Point40,32.937328,-5.694104,89.063639
Point41,27.739858,-4.715294,99.918239
Point42,28.174186,-4.775299,105.831394
Point43,28.109583,-4.744573,111.775911
Point44,28.013337,-4.708101,117.719348
Point45,27.843399,-4.658247,123.661806
Point46,27.608578,-4.596615,129.601423
Point47,27.459617,-4.550573,135.543244
Point48,27.305501,-4.503592,141.486148
Point49,27.213501,-4.467891,147.429885
Point50,27.302424,-4.465054,153.373755
Point51,27.438792,-4.482956,155.52411
Point52,27.63611,-4.511944,157.669796
Point53,27.825614,-4.539511,159.816062
Point54,27.777154,-4.523843,161.964987
Point55,26.398929,-4.269103,163.336684
