Name,Position X,Position Y,Position Z
Point01,0.045042,17.135703,226.648797
Point02,0.377559,18.775936,225.426644
Point03,0.472229,19.1095,223.271149
Point04,0.531037,19.253999,221.08263
Point05,0.579803,19.346015,218.891144
Point06,0.637436,19.484385,216.70248
Point07,1.181709,21.173895,201.218635
Point08,1.787647,23.187264,185.774737
Point09,2.42715,25.377231,170.356941
Point10,3.110601,27.798662,154.976447
Point11,3.831777,30.418842,139.628839
Point12,4.5291,32.913253,124.25905
Point13,5.216872,35.3574,108.881637
Point14,5.95963,38.09153,93.556166
Point15,6.618438,40.389759,78.24401
Point16,8.783953,51.331343,73.801254
Point17,10.7843,61.259357,67.272018
Point18,12.458303,69.323354,58.497884
Point19,13.469368,73.769068,47.443864
Point20,13.556618,73.344926,35.546453
Point21,12.75943,68.389584,24.617623
Point22,11.410545,60.692642,15.442841
Point23,9.765481,51.562093,7.727608
Point24,8.016691,41.941811,0.690626
Point25,6.03483,31.535227,-0.566772
Point26,4.03402,21.048674,-1.571578
Point27,2.023279,10.53801,-2.202958
Point28,0.000932,0.005401,-2.313256
Point29,-2.032904,-10.56376,-2.108816
Point30,-4.068755,-21.124282,-1.645339
Point31,-6.105316,-31.662405,-0.828218
Point32,-8.131087,-42.079476,0.868032
Point33,-10.051917,-51.555577,7.913483
Point34,-11.830028,-60.211929,16.002501
Point35,-13.314024,-67.227343,25.586263
Point36,-14.33502,-71.726713,36.613602
Point37,-14.625669,-72.361409,48.506447
Point38,-13.997679,-68.268318,59.682838
Point39,-12.562798,-60.164339,68.309014
Point40,-10.681584,-49.939948,74.193993
Point41,-8.657805,-39.075726,78.695915
Point42,-8.515839,-37.211763,93.93894
Point43,-8.30034,-34.963013,109.21062
Point44,-8.090862,-32.745267,124.486817
Point45,-7.879247,-30.516595,139.760378
Point46,-7.686203,-28.383474,155.048691
Point47,-7.574053,-26.667561,170.388166
Point48,-7.460326,-24.943413,185.727966
Point49,-7.406564,-23.528981,201.09956
Point50,-7.454563,-22.641104,216.512058
Point51,-7.459407,-22.509091,218.642052
Point52,-7.472726,-22.421009,220.774312
Point53,-7.496005,-22.384676,222.907768
Point54,-7.509349,-22.296996,225.036389
Point55,-7.272374,-20.959029,226.455248
