Name,Position X,Position Y,Position Z
Point01,-14.610975,1.932541,67.858017
Point02,-16.008258,2.229255,66.399141
Point03,-16.458377,2.348095,64.240087
Point04,-16.788149,2.443446,62.056576
Point05,-17.015629,2.518724,59.860197
Point06,-17.140132,2.573747,57.65411
Point07,-17.402197,2.663776,54.883619
Point08,-17.704052,2.761606,52.118717
Point09,-18.060504,2.870164,49.359617
Point10,-18.316688,2.959032,46.588923
Point11,-18.258894,2.985912,43.805704
Point12,-18.147417,3.002135,41.024568
Point13,-17.902442,2.991806,38.252415
Point14,-17.705115,2.990962,35.476467
Point15,-18.222578,3.130697,32.76815
Point16,-21.676905,3.846202,30.470615
Point17,-25.129212,4.563049,28.046635
Point18,-27.725623,5.122795,24.726
Point19,-29.051602,5.441258,20.662334
Point20,-29.812658,5.649842,16.456188
Point21,-29.651144,5.676809,12.175322
Point22,-29.415738,5.688618,7.932933
Point23,-27.694561,5.401406,4.044546
Point24,-24.783326,4.86707,0.993029
Point25,-18.712115,3.685987,-0.52242
Point26,-12.509785,2.46861,-1.287175
Point27,-6.267138,1.24099,-1.887716
Point28,0.015501,-0.001193,-2.005605
Point29,6.215889,-1.228795,-1.999838
Point30,12.367979,-2.456991,-1.25649
Point31,18.500565,-3.683247,-0.37355
Point32,24.123836,-4.831031,2.133274
Point33,26.548228,-5.359311,5.641929
Point34,27.649933,-5.634776,9.80749
Point35,27.759798,-5.716054,14.130764
Point36,27.284472,-5.681065,18.424086
Point37,26.063877,-5.496481,22.568467
Point38,23.874309,-5.113599,26.243246
Point39,20.564098,-4.495656,28.95926
Point40,16.891539,-3.798565,31.136939
Point41,13.694029,-3.203194,33.871832
Point42,13.183695,-3.141362,36.718973
Point43,12.803898,-3.105728,39.591786
Point44,12.591966,-3.103554,42.481185
Point45,12.13509,-3.052504,45.342732
Point46,11.585538,-2.982852,48.185727
Point47,10.916585,-2.889203,51.002755
Point48,10.258715,-2.797807,53.824039
Point49,9.688318,-2.723999,56.664947
Point50,9.048906,-2.636291,59.488674
Point51,8.485508,-2.555293,61.706815
Point52,7.823703,-2.454431,63.897141
Point53,7.050706,-2.331032,66.049504
Point54,6.022104,-2.155434,68.085938
Point55,4.169877,-1.803577,69.163591
