Name,Position X,Position Y,Position Z
Point01,26.242416,0.712178,153.930232
Point02,27.757853,0.785839,152.549623
Point03,27.945802,0.800563,150.373053
Point04,28.156033,0.816324,148.192886
Point05,28.403364,0.833788,146.015036
Point06,28.615627,0.849648,143.832925
Point07,28.96777,0.879595,138.908661
Point08,29.295167,0.908406,133.98275
Point09,29.481451,0.930737,129.04949
Point10,29.547945,0.947555,124.113945
Point11,29.592428,0.963364,119.177208
Point12,29.805083,0.986903,114.246157
Point13,30.539237,1.034328,109.364977
Point14,31.382672,1.086732,104.503366
Point15,33.493054,1.196313,100.068532
Point16,45.026826,1.747119,93.081144
Point17,54.517328,2.211156,83.453379
Point18,60.237858,2.508842,71.198099
Point19,62.082386,2.631034,57.843776
Point20,61.010614,2.619047,44.42933
Point21,56.955431,2.468239,31.510898
Point22,50.226067,2.190937,19.777002
Point23,41.226979,1.804604,9.647022
Point24,30.554517,1.335904,1.411248
Point25,23.181258,1.001304,-0.406869
Point26,15.521276,0.650541,-1.165116
Point27,7.826637,0.296745,-1.40794
Point28,0.126345,-0.058114,-1.362824
Point29,-5.562191,-0.320865,-1.113756
Point30,-11.250104,-0.583703,-0.82335
Point31,-16.913408,-0.846299,-0.212545
Point32,-22.406274,-1.102448,0.901942
Point33,-34.597655,-1.686594,8.98195
Point34,-44.977728,-2.193667,19.347286
Point35,-51.376209,-2.525204,32.542267
Point36,-54.200803,-2.695731,47.039573
Point37,-54.875632,-2.767868,61.768009
Point38,-51.160508,-2.636357,75.989661
Point39,-42.798238,-2.284498,87.96258
Point40,-30.746821,-1.752927,96.433343
Point41,-17.363329,-1.15325,102.485209
Point42,-14.86901,-1.049946,106.648496
Point43,-13.393615,-0.994941,111.299686
Point44,-12.322642,-0.958863,116.056777
Point45,-11.654453,-0.941553,120.890531
Point46,-11.19866,-0.934096,125.748888
Point47,-10.934988,-0.935531,130.622179
Point48,-10.65081,-0.936018,135.494
Point49,-10.317452,-0.934221,140.359406
Point50,-9.243447,-0.898013,145.120142
Point51,-8.749941,-0.881332,147.29219
Point52,-8.316677,-0.867462,149.477053
Point53,-7.933473,-0.855924,151.671277
Point54,-7.340749,-0.834572,153.807238
Point55,-5.571092,-0.75637,154.999055
