Name,Position X,Position Y,Position Z
Point01,13.39315,16.131491,124.181248
Point02,14.403961,17.587678,123.146499
Point03,14.293609,17.482282,120.915619
Point04,13.948764,17.044269,118.697474
Point05,13.71951,16.771068,116.435759
Point06,13.550847,16.584066,114.15971
Point07,13.316502,16.379337,108.587032
Point08,13.064743,16.149912,103.015026
Point09,12.807791,15.913113,97.443674
Point10,12.441047,15.520368,91.887534
Point11,12.154325,15.2413,86.319608
Point12,11.948548,15.077085,80.745733
Point13,11.953846,15.21216,75.165202
Point14,12.196615,15.683185,69.610749
Point15,13.013718,16.962786,64.291534
Point16,16.352729,21.846161,57.673198
Point17,19.586828,26.584655,50.888564
Point18,22.359089,30.682221,43.5092
Point19,24.871958,34.418309,35.861484
Point20,26.351426,36.707886,27.424708
Point21,26.515578,37.142278,18.598813
Point22,24.02859,33.794254,10.874755
Point23,20.076562,28.325283,5.105152
Point24,15.686696,22.208871,0.513651
Point25,11.801116,16.720783,-0.300075
Point26,7.858161,11.142323,-0.717439
Point27,3.911812,5.554835,-0.950364
Point28,-0.035359,-0.036822,-1.05181
Point29,-3.896619,-5.514469,-0.814534
Point30,-7.744379,-10.980209,-0.261134
Point31,-11.608542,-16.459895,-0.114565
Point32,-15.428824,-21.885784,0.399016
Point33,-19.667877,-27.994153,4.805735
Point34,-23.255418,-33.213199,10.700109
Point35,-24.993796,-35.856908,18.577055
Point36,-24.426892,-35.249864,27.167807
Point37,-23.0666,-33.513475,35.542244
Point38,-20.933896,-30.671444,43.436767
Point39,-18.223884,-26.999143,50.801818
Point40,-14.874288,-22.401314,57.331262
Point41,-11.502791,-17.771281,63.809684
Point42,-10.530994,-16.520524,69.342951
Point43,-10.031115,-15.942781,75.060167
Point44,-9.803706,-15.752333,80.8276
Point45,-9.654878,-15.673385,86.600873
Point46,-9.517532,-15.610707,92.374091
Point47,-9.410957,-15.59166,98.14821
Point48,-9.318594,-15.592766,103.922906
Point49,-9.169698,-15.513696,109.695041
Point50,-9.113173,-15.565594,115.46981
Point51,-9.130063,-15.639662,117.66285
Point52,-9.242735,-15.849133,119.840984
Point53,-9.510053,-16.276795,121.976524
Point54,-9.661814,-16.541337,124.140375
Point55,-8.778356,-15.319395,125.457378
