Name,Position X,Position Y,Position Z
Point01,-27.381975,-0.894472,144.968804
Point02,-29.337396,-1.039292,144.005456
Point03,-29.95494,-1.09814,141.876703
Point04,-29.913703,-1.111448,139.620375
Point05,-29.828331,-1.121641,137.364441
Point06,-29.642733,-1.124723,135.114642
Point07,-29.215987,-1.133978,129.63953
Point08,-28.929353,-1.153177,124.155773
Point09,-29.023467,-1.199276,118.66509
Point10,-29.127708,-1.246087,113.174647
Point11,-29.416412,-1.305856,107.691173
Point12,-29.597455,-1.358068,102.202862
Point13,-29.899352,-1.418759,96.720553
Point14,-29.835892,-1.45374,91.230612
Point15,-30.811133,-1.561241,85.842176
Point16,-37.863019,-2.114606,78.040937
Point17,-41.284199,-2.428314,67.960659
Point18,-42.307007,-2.576979,57.3113
Point19,-43.119882,-2.711013,46.637839
Point20,-43.999546,-2.849724,35.969081
Point21,-42.931842,-2.850773,25.346775
Point22,-38.91725,-2.63876,15.454598
Point23,-32.717781,-2.264111,6.753402
Point24,-24.147344,-1.704451,0.530488
Point25,-18.102225,-1.280801,0.161683
Point26,-12.028198,-0.85268,0.131445
Point27,-5.960613,-0.425703,0.005206
Point28,0.110028,0.001186,-0.163286
Point29,5.172594,0.357957,-0.196623
Point30,10.237332,0.716251,-0.039397
Point31,15.28427,1.074768,0.323513
Point32,20.248253,1.431748,1.286494
Point33,28.222207,2.045966,8.507423
Point34,33.432015,2.481739,18.02161
Point35,36.431392,2.76784,28.399473
Point36,36.190855,2.828753,39.234985
Point37,33.988037,2.749839,49.869145
Point38,31.192572,2.628117,60.362126
Point39,28.24469,2.495352,70.814068
Point40,23.729771,2.247662,80.65133
Point41,16.395014,1.78722,88.55497
Point42,13.28527,1.598395,92.795005
Point43,10.825328,1.458302,97.439643
Point44,9.16595,1.377219,102.439681
Point45,7.587597,1.302048,107.467367
Point46,5.951643,1.222014,112.38354
Point47,4.295583,1.141146,117.38107
Point48,3.082824,1.092478,122.509054
Point49,2.239273,1.070345,127.706536
Point50,0.855196,1.009276,132.790064
Point51,0.224354,0.981824,135.160202
Point52,-0.495482,0.947906,137.503948
Point53,-1.569736,0.88798,139.706555
Point54,-3.025166,0.799493,141.675411
Point55,-4.944985,0.674268,143.088963
