Name,Position X,Position Y,Position Z
Point01,-23.1401,-6.717723,229.896486
Point02,-24.924555,-7.328426,228.773753
Point03,-25.576625,-7.560927,226.570779
Point04,-26.065478,-7.738374,224.315908
Point05,-26.46108,-7.884321,222.0405
Point06,-26.814545,-8.016025,219.757267
Point07,-28.689779,-8.70971,208.612653
Point08,-30.683507,-9.443438,197.4913
Point09,-32.151272,-9.999364,186.278467
Point10,-33.436417,-10.493529,175.038857
Point11,-34.665983,-10.968893,163.792157
Point12,-35.558852,-11.330311,152.510676
Point13,-36.313472,-11.644933,141.216823
Point14,-36.985001,-11.931418,129.917791
Point15,-38.661043,-12.557329,118.822566
Point16,-55.238942,-18.214688,111.497193
Point17,-70.184742,-23.335702,100.934232
Point18,-80.334334,-26.857468,85.292602
Point19,-85.441206,-28.683013,67.146827
Point20,-82.240602,-27.695192,48.519391
Point21,-73.675469,-24.879238,31.770588
Point22,-60.568156,-20.504456,18.711605
Point23,-45.223436,-15.355588,8.666633
Point24,-29.090311,-9.93179,0.098532
Point25,-21.83445,-7.474711,-0.351689
Point26,-14.549896,-5.005204,-0.28335
Point27,-7.270286,-2.536241,0.002268
Point28,0.008615,-0.06755,0.281904
Point29,6.811211,2.236888,0.022764
Point30,13.61569,4.542302,-0.171341
Point31,20.422281,6.84928,-0.202868
Point32,27.205795,9.150967,0.25146
Point33,43.297233,14.649618,8.763341
Point34,58.422417,19.830368,19.121348
Point35,71.768555,24.420499,31.859693
Point36,80.381722,27.426301,48.426082
Point37,82.193259,28.138827,67.331482
Point38,78.548482,27.000271,85.924729
Point39,68.575437,23.701718,101.641316
Point40,53.476591,18.637834,112.001772
Point41,36.673714,12.977493,118.74131
Point42,34.254409,12.215795,129.939976
Point43,32.76739,11.771566,141.419509
Point44,31.644607,11.451029,152.943671
Point45,30.672939,11.181804,164.485214
Point46,29.22785,10.751811,175.969331
Point47,27.458059,10.211503,187.404396
Point48,25.228014,9.514727,198.751041
Point49,22.948352,8.801071,210.085695
Point50,20.570956,8.054177,221.399217
Point51,20.054838,7.890552,223.571527
Point52,19.489045,7.710018,225.729996
Point53,18.804095,7.488893,227.849791
Point54,18.087357,7.256928,229.957011
Point55,16.519895,6.732393,231.255952
