Name,Position X,Position Y,Position Z
Point01,49.61241,25.824456,404.270741
Point02,49.156729,25.777253,405.232535
Point03,47.943636,25.654432,405.637185
Point04,46.665375,25.525471,405.715551
Point05,45.390087,25.397091,405.581253
Point06,44.160599,25.273601,405.240444
Point07,39.852797,24.838741,405.700127
Point08,35.561926,24.405213,406.443548
Point09,31.262726,23.970907,407.140952
Point10,26.954678,23.535788,407.778313
Point11,22.638673,23.09994,408.359934
Point12,18.344538,22.666121,409.074634
Point13,14.093251,22.236314,410.022822
Point14,9.828336,21.80522,410.904934
Point15,5.751707,21.392327,412.378531
Point16,-3.821592,20.417193,420.025488
Point17,-12.64148,19.516792,428.594463
Point18,-22.184169,18.544605,436.346886
Point19,-32.689531,17.477228,442.694065
Point20,-43.98834,16.331909,447.492272
Point21,-56.112933,15.107551,449.101346
Point22,-68.270714,13.884044,447.527969
Point23,-79.645096,12.743411,442.995593
Point24,-88.115323,11.900991,434.326368
Point25,-89.323242,11.789629,426.437123
Point26,-89.983728,11.733562,418.46432
Point27,-90.813566,11.660402,410.507182
Point28,-91.430017,11.608779,402.530801
Point29,-91.937961,11.568293,394.402828
Point30,-92.800916,11.491981,386.304813
Point31,-93.570237,11.42512,378.197226
Point32,-94.008426,11.391185,370.434663
Point33,-87.636615,12.046535,360.553417
Point34,-78.822901,12.945349,352.715429
Point35,-68.112024,14.031434,347.892443
Point36,-56.446426,15.208573,347.003431
Point37,-44.770286,16.383388,348.682378
Point38,-33.55639,17.509076,352.279663
Point39,-22.74919,18.592248,357.028344
Point40,-12.491229,19.618602,362.87775
Point41,-1.827498,20.687653,367.367044
Point42,2.564551,21.129293,368.206437
Point43,7.194254,21.595919,368.26533
Point44,11.805776,22.061318,367.864318
Point45,16.396306,22.524883,367.24978
Point46,20.983087,22.988099,366.613398
Point47,25.596142,23.453645,366.218499
Point48,30.216483,23.919819,365.904385
Point49,34.830275,24.38545,365.501153
Point50,39.417401,24.848653,364.90124
Point51,40.487663,24.956984,364.566457
Point52,41.558572,25.065379,364.231973
Point53,42.677933,25.178247,364.209577
Point54,43.760906,25.287055,364.484715
Point55,44.451202,25.355511,365.341738
