Name,Position X,Position Y,Position Z
Point01,47.254778,37.436452,367.156158
Point02,45.909694,37.365978,369.381197
Point03,43.028842,37.211312,370.239207
Point04,40.150525,37.056792,371.105416
Point05,37.232759,36.900004,371.827128
Point06,34.282034,36.741295,372.399161
Point07,25.799193,36.285074,374.087743
Point08,17.329169,35.829609,375.842912
Point09,8.864869,35.374474,377.620058
Point10,0.37041,34.917566,379.245932
Point11,-8.189308,34.456765,380.48215
Point12,-16.755566,33.995573,381.678042
Point13,-25.321306,33.534408,382.873564
Point14,-33.80131,33.078333,384.554738
Point15,-41.999128,32.638336,387.123958
Point16,-48.03938,32.321865,397.118308
Point17,-55.321473,31.937954,406.675759
Point18,-63.996033,31.477681,414.965942
Point19,-74.365239,30.923778,420.982168
Point20,-85.744344,30.313268,424.795975
Point21,-97.567395,29.677123,426.852576
Point22,-109.494602,29.032376,425.784339
Point23,-120.596169,28.428922,421.287978
Point24,-130.2616,27.900769,414.475575
Point25,-133.666809,27.706371,403.344109
Point26,-136.207924,27.558389,391.982519
Point27,-138.073058,27.446768,380.492133
Point28,-139.60526,27.353068,368.950753
Point29,-140.381125,27.301081,358.345679
Point30,-141.228679,27.245223,347.739848
Point31,-141.767868,27.205993,337.117149
Point32,-141.157845,27.228843,326.552168
Point33,-133.579549,27.628893,317.155648
Point34,-123.772967,28.151394,310.05107
Point35,-112.610922,28.749378,305.388358
Point36,-100.598695,29.396377,304.006661
Point37,-88.584087,30.046218,305.469796
Point38,-77.278562,30.660528,309.80628
Point39,-66.714836,31.23635,315.765833
Point40,-56.798392,31.778211,322.747532
Point41,-48.100043,32.255724,331.189921
Point42,-39.868022,32.701052,332.274686
Point43,-31.098649,33.174394,332.323944
Point44,-22.332498,33.647271,332.067216
Point45,-13.563817,34.120468,332.00419
Point46,-4.79538,34.593807,332.102844
Point47,3.973417,35.067208,332.245964
Point48,12.74168,35.540598,332.408459
Point49,21.50906,36.013983,332.615405
Point50,30.274414,36.487334,332.900975
Point51,32.983338,36.633693,333.063114
Point52,35.68796,36.779876,333.284695
Point53,38.383068,36.925637,333.601504
Point54,41.076771,37.071333,333.93021
Point55,42.938552,37.173327,335.51456
