Name,Position X,Position Y,Position Z
Point01,5.361861,60.832887,530.053935
Point02,5.501912,58.662161,530.080895
Point03,5.565197,57.289153,528.378978
Point04,5.580367,56.568243,526.258304
Point05,5.584899,56.00178,524.089957
Point06,5.607952,55.168055,522.011786
Point07,5.690274,52.639855,516.553527
Point08,5.755088,50.358328,510.983933
Point09,5.816717,48.1221,505.395969
Point10,5.870953,45.991322,499.766626
Point11,5.943152,43.60572,494.243878
Point12,6.041611,40.851264,488.893005
Point13,6.137883,38.128401,483.531688
Point14,6.333352,34.080008,479.11608
Point15,6.601483,29.137268,475.728115
Point16,7.465304,14.974258,472.510124
Point17,8.276163,1.255405,467.635071
Point18,8.924253,-10.708465,459.372099
Point19,9.40079,-20.572747,448.630598
Point20,9.682807,-27.841133,436.019737
Point21,9.835117,-33.306002,422.479569
Point22,9.809106,-36.167843,408.201779
Point23,9.600176,-36.259383,393.60529
Point24,9.199364,-33.261157,379.477531
Point25,8.459035,-22.94504,374.270083
Point26,7.701916,-12.412123,368.869477
Point27,6.943035,-1.826995,363.577432
Point28,6.180723,8.872236,358.551001
Point29,5.380071,20.069215,353.095355
Point30,4.590504,30.95818,347.046469
Point31,3.78207,42.413912,342.193182
Point32,2.971885,54.06817,338.088734
Point33,2.37056,65.229964,346.023112
Point34,1.802159,76.136928,355.080589
Point35,1.372819,85.286452,365.904454
Point36,1.063783,92.834827,377.903379
Point37,0.96222,97.472289,391.274838
Point38,1.027566,99.661737,405.285967
Point39,1.27249,99.093694,419.444865
Point40,1.711632,95.396985,433.123623
Point41,2.347743,88.279543,445.23258
Point42,2.449045,88.139136,451.502045
Point43,2.518702,88.489407,457.76627
Point44,2.464617,90.675666,463.648366
Point45,2.368115,93.463291,469.277206
Point46,2.283456,96.085324,474.986878
Point47,2.179454,98.976782,480.559983
Point48,2.058595,102.102042,486.009787
Point49,1.94769,105.090197,491.53653
Point50,1.857785,107.785822,497.211481
Point51,1.827478,108.759918,499.410404
Point52,1.801003,109.679834,501.63284
Point53,1.75891,110.818581,503.75063
Point54,1.786979,110.908809,506.052286
Point55,1.917776,109.266342,507.759754
