Name,Position X,Position Y,Position Z
Point01,-46.388369,-0.505088,260.454002
Point02,-47.44193,-0.527088,258.892803
Point03,-47.554091,-0.531924,256.947389
Point04,-47.523733,-0.534098,254.98952
Point05,-47.375008,-0.534034,253.040618
Point06,-46.701122,-0.523934,251.205663
Point07,-46.818197,-0.539499,241.67378
Point08,-46.668344,-0.550076,232.11905
Point09,-46.677705,-0.563649,222.563092
Point10,-46.843899,-0.58017,213.008274
Point11,-46.805363,-0.592842,203.452048
Point12,-46.804154,-0.606216,193.896307
Point13,-46.861468,-0.62069,184.341095
Point14,-47.071692,-0.638037,174.786857
Point15,-47.624315,-0.661754,165.281916
Point16,-55.69647,-0.839544,146.735527
Point17,-64.181626,-1.024853,128.365058
Point18,-72.271003,-1.202966,109.819746
Point19,-78.262277,-1.342705,90.504083
Point20,-81.337776,-1.4285,70.557799
Point21,-79.282808,-1.417442,50.882469
Point22,-71.612814,-1.299393,32.210437
Point23,-60.624473,-1.116575,15.229292
Point24,-46.924621,-0.879563,0.535066
Point25,-35.261226,-0.66176,-0.546114
Point26,-23.520468,-0.441665,-1.029874
Point27,-11.769533,-0.220885,-1.161475
Point28,-0.025632,-0.00012,-1.209134
Point29,9.736572,0.183617,-1.088942
Point30,19.492803,0.367336,-0.901343
Point31,29.25334,0.551186,-0.678069
Point32,38.941668,0.734776,0.327592
Point33,52.904965,1.020401,16.77578
Point34,63.515839,1.246559,35.771985
Point35,69.664549,1.391407,56.619906
Point36,69.881602,1.425925,78.32962
Point37,63.945741,1.34361,99.231835
Point38,54.656262,1.196495,118.893377
Point39,42.878662,1.000689,137.195913
Point40,30.784887,0.798673,155.310368
Point41,18.556184,0.593944,173.299531
Point42,16.802093,0.57373,182.40808
Point43,14.900639,0.550719,191.498207
Point44,13.050238,0.528682,200.59858
Point45,11.221025,0.507047,209.701135
Point46,9.619235,0.489749,218.847311
Point47,7.94226,0.47102,227.981038
Point48,6.234748,0.451705,237.106166
Point49,4.592943,0.433634,246.237519
Point50,3.040125,0.41727,255.392719
Point51,2.732658,0.414657,257.652525
Point52,2.381007,0.411203,259.905866
Point53,2.008238,0.407348,262.155822
Point54,1.428917,0.399542,264.357865
Point55,-0.121205,0.372489,265.852982
