Name,Position X,Position Y,Position Z
Point01,6.889059,21.334412,264.278628
Point02,6.528742,22.965038,263.023222
Point03,6.356528,23.422435,260.910629
Point04,6.251257,23.513382,258.732954
Point05,6.145658,23.606065,256.555312
Point06,6.033022,23.736292,254.379932
Point07,5.223059,24.824419,239.449368
Point08,4.389398,26.039839,224.530397
Point09,3.55622,27.252679,209.611245
Point10,2.673146,28.73385,194.718056
Point11,1.897896,29.636337,179.774307
Point12,1.060415,30.872237,164.857034
Point13,0.122948,32.652545,150.023204
Point14,-0.976267,35.31092,135.312078
Point15,-2.568268,40.79038,121.660372
Point16,-5.694177,55.595691,113.864769
Point17,-8.733771,69.673147,104.785595
Point18,-11.527389,81.953531,93.350487
Point19,-13.744629,90.571034,78.969686
Point20,-14.927397,93.251827,62.29635
Point21,-14.940101,89.779521,45.669123
Point22,-14.370932,83.425574,29.902432
Point23,-13.199839,74.218828,15.627987
Point24,-11.702314,63.529311,2.465061
Point25,-9.062162,48.37444,-3.401686
Point26,-6.116481,32.3787,-5.658468
Point27,-3.066981,16.187148,-6.266181
Point28,0.0074,-0.016954,-6.31717
Point29,2.854485,-15.112744,-6.785767
Point30,5.723722,-30.203832,-6.684142
Point31,8.628698,-45.095179,-4.759743
Point32,11.463868,-58.64985,1.716975
Point33,13.737968,-67.848927,14.772543
Point34,15.840541,-75.987,28.568267
Point35,17.835702,-83.481141,42.73125
Point36,19.099805,-86.804696,58.397528
Point37,19.366563,-84.806926,74.383979
Point38,18.671019,-78.0349,88.987641
Point39,17.279671,-68.034525,101.540324
Point40,15.336052,-55.634846,111.69896
Point41,13.084734,-42.00597,120.018306
Point42,12.612171,-36.567676,133.87377
Point43,12.636975,-33.554792,148.642053
Point44,12.819857,-31.345055,163.548809
Point45,13.037465,-29.312073,178.484496
Point46,13.347907,-27.757513,193.469723
Point47,13.856369,-27.230663,208.526773
Point48,14.374102,-26.752224,223.58582
Point49,14.85666,-26.090283,238.636571
Point50,15.282983,-25.135498,253.67153
Point51,15.325931,-24.884158,255.915087
Point52,15.355085,-24.562027,258.149858
Point53,15.368573,-24.16015,260.371632
Point54,15.316628,-23.434068,262.497389
Point55,15.019937,-21.635761,263.604176
