Name,Position X,Position Y,Position Z
Point01,-27.055919,-0.985311,134.701906
Point02,-28.51748,-1.124189,133.350454
Point03,-28.999853,-1.175853,131.263148
Point04,-29.14133,-1.196441,129.120234
Point05,-29.1929,-1.208799,126.972466
Point06,-29.24169,-1.220902,124.82464
Point07,-30.257865,-1.372496,108.386107
Point08,-31.751885,-1.567812,91.979998
Point09,-33.193397,-1.758317,75.571824
Point10,-34.163763,-1.905738,59.125207
Point11,-34.737526,-2.016822,42.665698
Point12,-35.100074,-2.108568,26.195193
Point13,-36.680737,-2.31179,9.800887
Point14,-37.533097,-2.448399,-6.649616
Point15,-36.456333,-2.406386,-22.635567
Point16,-53.157284,-3.962493,-29.397354
Point17,-66.306912,-5.205513,-39.735605
Point18,-80.292155,-6.527819,-50.814248
Point19,-88.482112,-7.336184,-66.877955
Point20,-89.387261,-7.483024,-84.845746
Point21,-81.210092,-6.789698,-100.847955
Point22,-68.149031,-5.619836,-108.823522
Point23,-52.874788,-4.252572,-118.384053
Point24,-35.2266,-2.647871,-122.409056
Point25,-26.386873,-1.838776,-122.925906
Point26,-17.527314,-1.026379,-123.025381
Point27,-8.669468,-0.213095,-122.830709
Point28,0.185107,0.600287,-122.523854
Point29,13.327948,1.80813,-121.91648
Point30,26.464445,3.015859,-121.177163
Point31,39.572373,4.221766,-120.212741
Point32,52.529749,5.417593,-118.197803
Point33,64.892394,6.581894,-109.696546
Point34,75.684595,7.609113,-99.22802
Point35,83.882914,8.405421,-86.77578
Point36,85.645122,8.619739,-71.946749
Point37,81.46537,8.287538,-57.517683
Point38,72.752399,7.531593,-45.307997
Point39,60.96598,6.483399,-35.998748
Point40,48.385378,5.358322,-27.823362
Point41,35.402323,4.193433,-20.462528
Point42,31.541836,3.89614,-4.451231
Point43,28.884069,3.710317,11.880005
Point44,26.699931,3.568183,28.278927
Point45,23.960317,3.37479,44.592977
Point46,21.70762,3.226341,60.984399
Point47,19.233883,3.057486,77.340022
Point48,16.143263,2.831662,93.588987
Point49,12.986297,2.599726,109.830473
Point50,10.281035,2.409517,126.153846
Point51,9.933565,2.38544,128.350141
Point52,9.529059,2.356096,130.536428
Point53,9.022896,2.317349,132.701308
Point54,8.387914,2.266659,134.830425
Point55,6.868878,2.132413,136.268411
