Name,Position X,Position Y,Position Z
Point01,1.91206,1.029955,251.507692
Point02,0.215585,1.097732,250.050767
Point03,-0.674742,1.126889,247.893439
Point04,-1.32738,1.14521,245.649365
Point05,-1.959766,1.162615,243.399322
Point06,-2.540856,1.177705,241.135594
Point07,-5.425064,1.24227,227.655942
Point08,-8.29759,1.306304,214.17227
Point09,-11.700883,1.394175,200.804331
Point10,-13.962297,1.430835,187.202929
Point11,-16.107474,1.462291,173.579625
Point12,-18.610918,1.509845,160.036178
Point13,-22.219698,1.606992,146.723299
Point14,-25.166314,1.674316,133.24766
Point15,-29.93271,1.825114,120.548538
Point16,-44.136375,2.419811,114.265817
Point17,-56.836131,2.935966,105.266005
Point18,-65.868218,3.27507,92.787516
Point19,-66.627393,3.236778,77.232681
Point20,-65.803956,3.128907,61.657637
Point21,-64.352492,2.993673,46.12837
Point22,-61.831835,2.812147,30.740894
Point23,-57.960635,2.572646,15.640266
Point24,-51.130481,2.20882,1.753954
Point25,-38.696876,1.6432,-2.526362
Point26,-25.778183,1.062472,-5.462663
Point27,-12.690839,0.478597,-7.473918
Point28,0.549559,-0.104557,-7.869458
Point29,15.670582,-0.76644,-7.430555
Point30,30.737547,-1.422518,-6.246446
Point31,45.651269,-2.06563,-3.707747
Point32,59.826079,-2.665313,1.217042
Point33,66.359366,-2.890451,14.619228
Point34,70.765531,-3.01798,28.937172
Point35,74.224333,-3.102698,43.518982
Point36,76.887798,-3.151731,58.267044
Point37,78.447021,-3.151555,73.172904
Point38,79.003998,-3.107174,88.122057
Point39,71.034301,-2.699502,100.664737
Point40,59.025818,-2.131799,109.451265
Point41,45.491988,-1.509521,115.545333
Point42,43.335513,-1.353289,128.912383
Point43,42.967307,-1.273962,142.629192
Point44,42.301117,-1.181556,156.344913
Point45,42.230594,-1.115231,170.076599
Point46,41.852898,-1.035433,183.805066
Point47,41.549076,-0.958869,197.535792
Point48,41.337728,-0.886358,211.26788
Point49,40.9869,-0.807739,224.996637
Point50,40.732661,-0.733363,238.724884
Point51,40.648054,-0.720713,240.66529
Point52,40.566364,-0.708192,242.605761
Point53,40.391308,-0.691601,244.539672
Point54,40.019397,-0.666506,246.443416
Point55,38.766823,-0.60545,247.759582
