Name,Position X,Position Y,Position Z
Point01,20.453048,-7.65792,166.872429
Point02,21.8268,-8.427326,165.561782
Point03,21.988149,-8.558962,163.372401
Point04,22.010231,-8.61564,161.165806
Point05,21.984626,-8.646517,158.959907
Point06,21.779297,-8.580014,156.763744
Point07,21.696217,-8.710262,148.123703
Point08,21.626071,-8.847487,139.484453
Point09,21.253233,-8.820794,130.857132
Point10,21.405754,-9.078242,122.226768
Point11,21.541892,-9.326875,113.594275
Point12,21.267783,-9.353719,104.95948
Point13,20.704999,-9.224032,96.34619
Point14,19.889937,-8.957238,87.767035
Point15,21.067034,-9.76402,79.367965
Point16,27.720456,-13.492598,72.913988
Point17,31.809494,-15.885366,63.952537
Point18,35.059191,-17.833396,54.54115
Point19,37.373777,-19.283217,44.762924
Point20,38.443465,-20.065684,34.698431
Point21,38.396418,-20.246088,24.54553
Point22,37.47062,-19.950243,14.445812
Point23,32.806868,-17.598366,6.062331
Point24,25.701843,-13.881571,-0.109554
Point25,19.474089,-10.52062,-0.435305
Point26,12.977825,-7.011026,-0.590874
Point27,6.479248,-3.498936,-0.685025
Point28,-0.018556,0.011341,-0.847947
Point29,-5.127085,2.775734,-0.747325
Point30,-10.233021,5.539871,-0.590215
Point31,-15.327364,8.30289,-0.178966
Point32,-20.396826,11.042998,-0.234259
Point33,-28.256756,15.40989,5.524944
Point34,-33.601303,18.475336,14.179738
Point35,-35.192426,19.552271,24.861265
Point36,-34.831053,19.576809,35.70971
Point37,-33.092656,18.853597,46.402912
Point38,-30.713921,17.780975,56.940339
Point39,-27.836383,16.434864,67.291835
Point40,-22.343346,13.643088,76.095741
Point41,-14.556554,9.551101,81.945166
Point42,-13.190925,8.982867,90.340391
Point43,-12.930431,9.01589,98.916742
Point44,-12.323571,8.861336,107.479105
Point45,-11.800762,8.752289,116.044248
Point46,-10.601391,8.275773,124.529087
Point47,-9.832901,8.033179,133.059782
Point48,-9.434185,7.991317,141.629087
Point49,-9.391461,8.142076,150.204511
Point50,-9.275614,8.253298,158.780069
Point51,-9.035637,8.16767,160.957019
Point52,-8.717946,8.039771,163.121697
Point53,-8.414269,7.919506,165.289094
Point54,-7.948016,7.710402,167.410722
Point55,-6.487407,6.944573,168.593078
