Name,Position X,Position Y,Position Z
Point01,38.072427,0.868514,192.049017
Point02,39.447513,0.91363,190.476012
Point03,39.773994,0.926996,188.353606
Point04,39.813028,0.931483,186.196656
Point05,39.857009,0.936123,184.039805
Point06,39.842104,0.938934,181.882542
Point07,39.77812,0.944012,177.22648
Point08,39.691985,0.948404,172.569359
Point09,39.497121,0.949411,167.915779
Point10,39.253039,0.948886,163.264395
Point11,38.991517,0.947817,158.614456
Point12,38.952925,0.953683,153.959037
Point13,39.092136,0.965075,149.303273
Point14,39.300549,0.978612,144.650685
Point15,39.992416,1.007089,140.053003
Point16,48.527728,1.295423,124.825569
Point17,57.754009,1.60462,109.998625
Point18,67.150023,1.918937,95.273399
Point19,73.857579,2.151786,79.18203
Point20,76.90053,2.272326,62.061198
Point21,74.399273,2.220726,44.848653
Point22,67.486871,2.030231,28.838492
Point23,58.033989,1.758766,14.165046
Point24,45.453942,1.386076,2.161259
Point25,34.385804,1.046101,-0.443018
Point26,22.952627,0.692067,-1.25773
Point27,11.492084,0.336231,-1.445625
Point28,0.031457,-0.020343,-1.148509
Point29,-8.925689,-0.299199,-0.802502
Point30,-17.88475,-0.57803,-0.512829
Point31,-26.845836,-0.856783,-0.315563
Point32,-35.673245,-1.132708,0.755327
Point33,-50.009439,-1.597046,13.18268
Point34,-61.008816,-1.962456,28.745081
Point35,-67.288774,-2.184933,46.756272
Point36,-68.197976,-2.242018,65.754103
Point37,-63.581582,-2.126539,84.183349
Point38,-53.569196,-1.84003,100.399693
Point39,-42.164921,-1.508919,115.726824
Point40,-30.825084,-1.179887,131.103995
Point41,-20.537361,-0.88459,147.167934
Point42,-19.998862,-0.874521,151.559044
Point43,-19.180081,-0.855684,155.911257
Point44,-18.547853,-0.842695,160.297542
Point45,-18.19572,-0.838454,164.712539
Point46,-17.651013,-0.828196,169.106302
Point47,-16.959276,-0.813148,173.354211
Point48,-16.675431,-0.811036,177.773836
Point49,-16.068939,-0.798853,182.16369
Point50,-15.604227,-0.791102,186.57128
Point51,-15.324112,-0.78564,188.707848
Point52,-15.042758,-0.78014,190.844268
Point53,-14.819113,-0.776443,192.987405
Point54,-14.473416,-0.768925,195.112058
Point55,-13.019045,-0.725808,196.479115
