Name,Position X,Position Y,Position Z
Point01,28.40233,-4.938346,232.234712
Point02,29.475976,-5.205676,230.588747
Point03,29.335272,-5.188439,228.497907
Point04,29.345532,-5.207052,226.401001
Point05,29.419709,-5.240826,224.303739
Point06,29.583813,-5.295881,222.212529
Point07,30.161515,-5.513684,211.741604
Point08,31.024448,-5.79899,201.289264
Point09,31.315853,-5.949025,190.801283
Point10,31.519681,-6.078307,180.311068
Point11,31.70671,-6.203578,169.824378
Point12,32.295929,-6.424069,159.359051
Point13,32.959357,-6.662162,148.893344
Point14,33.31366,-6.827069,138.411264
Point15,35.08654,-7.327077,128.102078
Point16,41.479737,-8.955602,113.549159
Point17,49.176564,-10.888082,99.672704
Point18,55.957184,-12.6071,85.300022
Point19,60.879541,-13.891358,70.155674
Point20,64.354642,-14.835703,54.580534
Point21,65.186186,-15.155762,38.659268
Point22,59.908817,-14.019131,23.758671
Point23,50.461442,-11.876516,11.062499
Point24,38.427302,-9.10016,0.991087
Point25,28.854882,-6.836993,0.075254
Point26,19.245077,-4.561301,-0.366419
Point27,9.630347,-2.28435,-0.796371
Point28,0.010002,-0.001372,-0.617796
Point29,-8.819752,2.094136,-0.435397
Point30,-17.648435,4.188314,-0.392379
Point31,-26.468355,6.2836,0.063553
Point32,-35.197405,8.361997,1.123806
Point33,-46.468879,11.124239,12.665345
Point34,-55.514549,13.373554,26.144959
Point35,-61.788523,14.977223,41.140988
Point36,-60.669967,14.83768,57.436941
Point37,-56.441485,13.957125,73.285993
Point38,-49.944901,12.532311,88.312315
Point39,-41.838852,10.719206,102.485454
Point40,-33.265973,8.793207,116.376255
Point41,-25.81996,7.13932,130.896939
Point42,-24.108433,6.811989,141.08126
Point43,-22.623405,6.538688,151.306177
Point44,-21.382271,6.323491,161.564903
Point45,-20.263114,6.137328,171.837282
Point46,-19.385984,6.008761,182.135074
Point47,-18.255689,5.819932,192.404353
Point48,-17.222073,5.65413,202.686305
Point49,-15.670873,5.365048,212.899898
Point50,-14.441227,5.152563,223.157001
Point51,-14.267018,5.12766,225.284146
Point52,-14.15193,5.116807,227.415096
Point53,-14.099426,5.120819,229.548877
Point54,-13.962953,5.104863,231.675764
Point55,-12.746569,4.827813,233.157332
