Name,Position X,Position Y,Position Z
Point01,27.028787,76.204961,492.346
Point02,26.025801,73.808202,491.393562
Point03,25.088986,72.215133,489.055157
Point04,24.141894,70.57745,486.752002
Point05,23.201555,68.969084,484.425684
Point06,22.323761,67.598776,481.959916
Point07,20.969452,65.506375,478.10671
Point08,19.670468,63.629208,474.119699
Point09,18.41729,61.921209,470.042189
Point10,17.121174,60.055114,466.048435
Point11,15.792165,58.064625,462.126219
Point12,14.486392,56.16248,458.15241
Point13,13.130361,54.06602,454.29744
Point14,11.694357,51.645201,450.665581
Point15,10.230651,48.88441,447.621832
Point16,4.947772,35.129126,445.143873
Point17,-0.467224,22.155626,440.077414
Point18,-5.832859,10.361909,432.674831
Point19,-10.834123,0.957223,422.210778
Point20,-15.442528,-6.643761,410.17871
Point21,-19.364972,-11.665144,396.687515
Point22,-22.21278,-13.177199,382.104176
Point23,-24.266663,-12.365187,367.316723
Point24,-25.606331,-9.760462,353.014462
Point25,-23.62825,-1.520597,347.008847
Point26,-21.410258,7.122237,341.613308
Point27,-19.234991,15.699286,336.095706
Point28,-16.941967,24.455909,330.918434
Point29,-14.829972,32.341312,326.553651
Point30,-12.697431,40.256342,322.25207
Point31,-10.587377,48.139037,317.881105
Point32,-8.346326,56.173454,313.996564
Point33,-2.860697,69.793203,318.058556
Point34,2.711103,82.63366,324.413415
Point35,8.104444,93.751522,333.507669
Point36,12.914663,101.910295,345.561877
Point37,16.94584,107.053314,359.466463
Point38,20.257502,109.790729,374.227872
Point39,22.570757,109.537616,389.398312
Point40,23.648768,105.937883,404.281902
Point41,23.898335,100.279249,418.556613
Point42,24.854436,101.034289,422.897497
Point43,25.987597,102.336775,427.127474
Point44,27.215851,103.971906,431.211185
Point45,28.464037,105.678251,435.260899
Point46,29.783371,107.649453,439.16533
Point47,31.104045,109.625604,443.06711
Point48,32.443701,111.674916,446.924525
Point49,33.762787,113.645122,450.829621
Point50,35.078308,115.613907,454.715406
Point51,35.768148,116.372519,457.367507
Point52,36.50959,117.298921,459.968782
Point53,37.201685,118.056823,462.636712
Point54,37.904196,118.849765,465.291748
Point55,37.994406,118.054792,467.645312
